File: /data/Ryzhkov/20140302/netcdf/cut_hrrr_20140302-2100F0000.nc
Lat: 35.3331 Lon: 262.722
H0 index: 12 H0_hgt: 3061.53 warm area: 2682.64
H1 index: 8 H1_hgt: 1470.14 cold area: 10205.4
H2 index: -1 H2_hgt: -99900 warm area: -99900
#i      Height      Pressure      Qvapor        Temp      TempWB          RH       Uwind       Vwind
 0    377.3518    98000.0000  1.5974e-03    -10.2251    -10.2814      0.8886      0.0000    -23.8231  
 1    402.8578    97700.0000  1.4978e-03    -10.5222    -10.7157      0.8503      0.0000      0.0000  
 2    447.4524    97200.0000  1.4978e-03    -10.6145    -10.7971      0.8521      0.0000     -0.0000  
 3    520.9283    96300.0000  1.4978e-03    -11.4823    -11.4372      0.9041      0.0000      0.0000  
 4    627.7700    94900.0000  1.3980e-03    -12.3287    -12.3078      0.8896      0.0000      0.0000  
 5    767.3477    93200.0000  1.3980e-03    -12.6518    -12.5972      0.8965      0.0000      0.0000  
 6    935.7617    91100.0000  1.3980e-03    -11.9922    -12.1999      0.8314      0.0000      0.0000  
 7   1128.9878    88900.0000  1.8964e-03     -9.0511     -9.2348      0.8727      0.0000      0.0000  
 8   1351.1130    86500.0000  3.3885e-03     -2.1080     -2.6380      0.8945      0.0000     -0.0000  
 9   1611.1899    83700.0000  5.5688e-03      3.5822      3.1262      0.9394      0.0000      0.0000  
10   1912.4368    80700.0000  5.8654e-03      4.0899      3.4591      0.9199      0.0000     -0.0000  
11   2254.4690    77300.0000  5.3710e-03      1.6345      1.3594      0.9618      0.0000      0.0000  
12   2641.2861    73700.0000  5.5688e-03      0.9718      0.9498      0.9969     -0.0000      0.0000  
13   3079.7710    69800.0000  5.4699e-03     -0.0145     -0.0412      0.9962      0.0000      0.0000  
14   3574.3921    65600.0000  4.3113e-03     -3.6740     -3.6540      0.9681     -0.0000      0.0000  
15   4130.9150    61100.0000  3.5474e-03     -6.2856     -6.5078      0.9045      0.0000      0.0000  
16   4744.9053    56400.0000  3.1103e-03     -8.7173     -8.9193      0.8831      0.0000      0.0000  
17   5383.6250    51800.0000  2.5137e-03    -12.2752    -12.3608      0.8678      0.0000      0.0000  
18   6009.1094    47700.0000  1.7270e-03    -16.6251    -16.9088      0.7820      0.0000     -0.0000  
19   6606.8047    44100.0000  1.1986e-03    -21.1996    -21.4437      0.7371      0.0000      0.0000  
20   7177.3164    40800.0000  8.1933e-04    -26.1666    -26.2764      0.7191  7932230375764393984.0000      0.0000  
21   7722.4688    37800.0000  5.8965e-04    -30.6643    -30.6584      0.7208      0.0000      0.0000  
22   8242.2930    35000.0000  4.0983e-04    -34.7999    -34.7969      0.6839     -0.0000      0.0000  
23   8736.7969    32700.0000  2.8892e-04    -38.7088    -38.6967      0.6584      0.0000      0.0000  
24   9206.7109    30400.0000  2.0796e-04    -42.2040    -42.1982      0.6253     -0.0000     -0.0000  
25   9652.0938    28500.0000  1.4898e-04    -45.6001    -45.5963      0.5963      0.0000      0.0000  
26  10076.0430    26800.0000  9.9990e-05    -49.4944    -49.4886      0.5699      0.0000     -0.0000  
27  10483.0000    25100.0000  7.2995e-05    -52.5251    -52.5214      0.5437      0.0000      0.0000  
28  10873.1523    23650.0000  5.5997e-05    -55.0826    -55.0792      0.5243     -0.0000     -0.0000  
29  11255.1562    22290.0000  3.5199e-05    -57.3840    -57.4199      0.4050      0.0000      0.0000  
30  11649.0938    20940.0000  3.1099e-05    -58.7549    -58.7884      0.3947     -0.0000     -0.0000  
31  12069.2734    19590.0000  3.1199e-05    -57.5391    -57.6203      0.3212      0.0000      0.0000  
32  12524.1914    18240.0000  2.3999e-05    -54.4259    -54.7360      0.1608      0.0000      0.0000  
33  13018.6602    16890.0000  1.7500e-05    -53.5203    -54.0315      0.0980      0.0000      0.0000  
34  13553.9180    15540.0000  1.3000e-05    -54.8298    -55.3628      0.0777     -0.0000     -0.0000  
35  14132.6953    14190.0000  9.0999e-06    -57.4675    -57.9234      0.0673      0.0000      0.0000  
36  14760.8203    12840.0000  6.1000e-06    -60.8670    -61.2193      0.0611      0.0000      0.0000  
37  15448.6016    11480.0000  4.1000e-06    -64.0327    -64.3187      0.0540      0.0000      0.0000  
38  16200.7656    10130.0000  3.7000e-06    -64.8386    -65.1409      0.0476      0.0000      0.0000  
39  16978.1992     8880.0000  3.5000e-06    -65.0448    -65.3909      0.0405      0.0000      0.0000  
40  17715.4141     7870.0000  3.6000e-06    -65.0373    -65.4291      0.0369     -0.0000     -0.0000  
41  18408.1719     7050.0000  3.7000e-06    -64.9659    -65.4093      0.0336      0.0000      0.0000  
42  19107.6602     6290.0000  3.7200e-06    -64.3534    -64.9073      0.0279     -0.0000     -0.0000  
43  19844.7656     5580.0000  4.1900e-06    -63.0130    -63.7664      0.0237      0.0000      0.0000  
44  20624.5430     4910.0000  4.7600e-06    -61.6679    -62.7022      0.0201     -0.0000      0.0000  
45  21457.8320     4300.0000  5.2200e-06    -59.1565    -60.8740      0.0143      0.0000      0.0000  
46  22361.8984     3725.0000  5.2500e-06    -56.9133    -59.6955      0.0096      0.0000      0.0000  
47  23351.5391     3188.0000  4.9900e-06    -54.8465    -59.2447      0.0061      0.0000      0.0000  
