File: /data/Ryzhkov/20140302/netcdf/cut_hrrr_20140302-1900F0000.nc
Lat: 35.3331 Lon: 262.722
H0 index: 13 H0_hgt: 3209 warm area: 6293.76
H1 index: 7 H1_hgt: 1329.6 cold area: 9931.93
H2 index: -1 H2_hgt: -99900 warm area: -99900
#i      Height      Pressure      Qvapor        Temp      TempWB          RH       Uwind       Vwind
 0    377.3334    98000.0000  1.4978e-03    -10.6333    -10.7817      0.8604  -9638019861921660928.0000    -23.8231  
 1    402.7872    97700.0000  1.4978e-03    -11.0026    -11.0500      0.8831      0.0000      0.0000  
 2    447.2795    97200.0000  1.4978e-03    -11.4469    -11.3822      0.9100  -9638002269735616512.0000  2397670180636679720665088.0000  
 3    520.5042    96200.0000  1.3980e-03    -12.3209    -12.2609      0.9012      0.0000      0.0000  
 4    626.8691    94900.0000  1.2983e-03    -13.4791    -13.3732      0.9060      0.0000  -9637808755689127936.0000  
 5    765.4194    93200.0000  1.0988e-03    -14.9557    -14.9874      0.8488      0.0000      0.0000  
 6    932.3718    91100.0000  1.2983e-03    -14.0515    -13.9145      0.9108  -9637773571317039104.0000  -9637544872898461696.0000  
 7   1126.0527    88900.0000  2.6927e-03     -6.3688     -6.0486      1.0067      0.0000      0.0000  
 8   1350.6628    86500.0000  4.6780e-03      0.5179      0.6260      1.0171      0.0000  1895400647730647214850048.0000  
 9   1612.0950    83700.0000  5.7666e-03      3.3541      3.2690      0.9883      0.0000      0.0000  
10   1913.6960    80700.0000  6.3593e-03      4.2309      4.1292      0.9868      0.0000  1898614992885491104219136.0000  
11   2258.6982    77300.0000  6.9513e-03      4.7837      4.7267      0.9928      0.0000      0.0000  
12   2651.5461    73700.0000  7.2471e-03      4.6674      4.6229      0.9945  3008795391473553049124864.0000  -9637843940061216768.0000  
13   3094.8252    69800.0000  5.7369e-03      1.4302      0.9816      0.9408      0.0000      0.0000  
14   3592.4697    65600.0000  4.0138e-03     -1.7630     -3.2969      0.7826  1895861816332489953640448.0000  -9637826347875172352.0000  
15   4150.8774    61100.0000  3.0507e-03     -5.6706     -7.0849      0.7429      0.0000      0.0000  
16   4762.9102    56400.0000  2.2549e-03    -10.0454    -11.2284      0.7110      0.0000      0.0000  
17   5396.3555    51800.0000  1.6971e-03    -14.3442    -15.2420      0.6927      0.0000      0.0000  
18   6016.4609    47700.0000  1.4579e-03    -18.3338    -18.6157      0.7610      0.0000  2397670180636679720665088.0000  
19   6610.5117    44100.0000  1.1886e-03    -22.2253    -22.2073      0.7983      0.0000      0.0000  
20   7179.4766    40800.0000  8.5926e-04    -26.3397    -26.3131      0.7658  7932230375764393984.0000      0.0000  
21   7724.5703    37800.0000  5.9979e-04    -30.4514    -30.4535      0.7189      0.0000      0.0000  
22   8244.8008    35100.0000  4.2182e-04    -34.5595    -34.5498      0.6900  2397670180636679720665088.0000      0.0000  
23   8739.4336    32700.0000  2.8792e-04    -38.7470    -38.7342      0.6586      0.0000      0.0000  
24   9209.1992    30500.0000  2.0596e-04    -42.2876    -42.2798      0.6266  3008795391473553049124864.0000  3008795391473553049124864.0000  
25   9654.9023    28500.0000  1.5598e-04    -45.2860    -45.2778      0.6041      0.0000      0.0000  
26  10080.6172    26800.0000  1.1999e-04    -47.9555    -47.9507      0.5794  -9637861532247261184.0000  1902493997287740840869888.0000  
27  10490.1094    25200.0000  8.4993e-05    -51.2969    -51.2920      0.5547      0.0000      0.0000  
28  10881.1328    23650.0000  5.3997e-05    -55.3933    -55.3892      0.5238  1895321672607581645832192.0000  1901378545732033716420608.0000  
