File: /data/Ryzhkov/20140302/netcdf/cut_hrrr_20140302-2200F0000.nc
Lat: 35.3331 Lon: 262.722
H0 index: 12 H0_hgt: 2677.63 warm area: 1426.68
H1 index: 8 H1_hgt: 1523.86 cold area: 10639.4
H2 index: -1 H2_hgt: -99900 warm area: -99900
#i      Height      Pressure      Qvapor        Temp      TempWB          RH       Uwind       Vwind
 0    377.3415    98000.0000  1.4978e-03    -10.5202    -10.7035      0.8528      0.0000    -23.8231  
 1    402.8168    97700.0000  1.4978e-03    -10.9526    -11.0148      0.8796      0.0000      0.0000  
 2    447.3244    97200.0000  1.3980e-03    -11.3273    -11.5180      0.8415      0.0000  16889561786899817854282347607375216640.0000  
 3    520.5752    96200.0000  1.3980e-03    -12.1802    -12.1587      0.8912      0.0000      0.0000  
 4    627.1032    94900.0000  1.2983e-03    -13.1218    -13.1080      0.8804      0.0000      0.0000  
 5    765.9412    93100.0000  1.1986e-03    -14.3151    -14.2753      0.8779      0.0000      0.0000  
 6    933.5183    91100.0000  1.3980e-03    -12.8792    -12.8313      0.8924      0.0000      0.0000  
 7   1126.6453    88800.0000  2.0956e-03     -8.7826     -8.6685      0.9431      0.0000      0.0000  
 8   1348.7778    86400.0000  3.7856e-03     -2.4859     -2.2019      1.0258      0.0000  12471552253237393885333045079514808320.0000  
 9   1607.3540    83600.0000  4.9751e-03      0.9806      1.0501      1.0106      0.0000      0.0000  
10   1906.1143    80600.0000  5.5688e-03      2.2253      2.1993      0.9963      0.0000  12499825932224884313904027547807514624.0000  
11   2246.8975    77300.0000  5.4699e-03      1.3535      1.3486      0.9993      0.0000      0.0000  
12   2632.9614    73700.0000  5.2721e-03      0.1241      0.1512      1.0040  19666077881820705288939554187562188800.0000      0.0000  
13   3069.7334    69700.0000  4.8761e-03     -1.1626     -1.3270      0.9652      0.0000      0.0000  
14   3563.4927    65600.0000  4.5195e-03     -3.4683     -3.2620      0.9990  12475608735158124219417834529772011520.0000      0.0000  
15   4120.8018    61100.0000  3.4282e-03     -5.7966     -6.4681      0.8424      0.0000      0.0000  
16   4734.8281    56400.0000  2.1553e-03     -8.8722    -10.8927      0.6203      0.0000      0.0000  
17   5370.9844    51800.0000  1.5077e-03    -13.7387    -15.3849      0.5862      0.0000      0.0000  
18   5991.8555    47700.0000  1.3183e-03    -18.5767    -19.1062      0.7024      0.0000  16889561786899817854282347607375216640.0000  
19   6584.2227    44000.0000  8.4928e-04    -23.2719    -23.8365      0.6233      0.0000      0.0000  
20   7149.7891    40700.0000  3.9984e-04    -27.8753    -28.9498      0.4082  7932230375764393984.0000      0.0000  
21   7690.7852    37800.0000  1.1999e-04    -32.1259    -33.9673      0.1681      0.0000      0.0000  
